candidate_id,label,label_id,relative_path,status,sha256,phash,width,height,file_bytes,split,sample_id,manifest_row
1,apparel,0,apparel/image0016.jpg,unique,81dbb72ed6c9aa2bad6cd00a280347184092440825fbe6fe98e71ac65db8e1e5,e19a963333658cc7,512,512,41270,train,81dbb72ed6c9aa2bad6cd00a280347184092440825fbe6fe98e71ac65db8e1e5,0
4,apparel,0,apparel/image0071.jpg,unique,fd52d9e0b34294a56f5dd4207f27257cca3109d9126d21289d0d8f3472884858,e96166ce9e189267,512,512,50741,train,fd52d9e0b34294a56f5dd4207f27257cca3109d9126d21289d0d8f3472884858,1
8,apparel,0,apparel/image0137.jpg,unique,919f7e874a7e0451820747b9d86c6ff92da0199798b6a05ae8cc0f76274c3643,f467c663ce648c98,512,512,51293,train,919f7e874a7e0451820747b9d86c6ff92da0199798b6a05ae8cc0f76274c3643,2
9,apparel,0,apparel/image0173.jpg,unique,41c47787c796e56ddac1949f6b7cf512ff21836ddf1882a98dde41a84dc3f7f2,b09913e3cb3164fc,512,512,60339,train,41c47787c796e56ddac1949f6b7cf512ff21836ddf1882a98dde41a84dc3f7f2,3
10,apparel,0,apparel/image0181.jpg,unique,710aa83dfbe829277028fc9f72fc1855e68df02cf1cb8caef2cca6ceba9589c4,b4c38eccc62cf439,512,512,42245,train,710aa83dfbe829277028fc9f72fc1855e68df02cf1cb8caef2cca6ceba9589c4,4
13,apparel,0,apparel/image0251.jpg,unique,4525bde5e3cc0d49d903b1596a4fcaaefae6ad991ec93e2e8a2bbb285c43fe7f,b1594f698b346672,512,512,63539,train,4525bde5e3cc0d49d903b1596a4fcaaefae6ad991ec93e2e8a2bbb285c43fe7f,5
17,apparel,0,apparel/image0312.jpg,unique,d32e92643ae8e1f948db5ce1dda1515bab4e6787b22d303fb538c84bd5be623f,a1d3c7e4c668869e,512,512,100564,train,d32e92643ae8e1f948db5ce1dda1515bab4e6787b22d303fb538c84bd5be623f,6
19,apparel,0,apparel/image0338.jpg,unique,a82843fcd6961b03b8b245f27e98b98dded20cd0f2c05271fff9183c0962a6d9,b3cc87b318cc719c,512,512,61000,train,a82843fcd6961b03b8b245f27e98b98dded20cd0f2c05271fff9183c0962a6d9,7
22,apparel,0,apparel/image0374.jpg,unique,67c7765a3472a600bd8b95118f87344f873162604da5995e3ac5e22a8b3e8198,f673c9661c9a6624,512,512,52285,train,67c7765a3472a600bd8b95118f87344f873162604da5995e3ac5e22a8b3e8198,8
24,apparel,0,apparel/image0399.jpg,unique,90cba00de6f0563de6d8995ff814e67136a6120b1e051da63c8be545cf91293f,e986656698669cd6,512,512,54916,train,90cba00de6f0563de6d8995ff814e67136a6120b1e051da63c8be545cf91293f,9
29,apparel,0,apparel/image0460.jpg,unique,fd172bf3ee44c12431bb2fe1db8a85594e4e28494b5a8cd12357ff496df17308,edf0e06d6cae2868,512,512,145639,train,fd172bf3ee44c12431bb2fe1db8a85594e4e28494b5a8cd12357ff496df17308,10
36,apparel,0,apparel/image0529.jpg,unique,d98c2129bca0c0338f56071165921f7fd61a53cd74b4df4fe85580c6a370d83b,a895deb6e4e4f204,512,512,105438,train,d98c2129bca0c0338f56071165921f7fd61a53cd74b4df4fe85580c6a370d83b,11
38,apparel,0,apparel/image0555.jpg,unique,c297dbc18ac6e7cd649b9a911050d2b9c8c8545b88b043ced3b889d82f7cc45d,b3ccce1999cc3133,512,512,20308,train,c297dbc18ac6e7cd649b9a911050d2b9c8c8545b88b043ced3b889d82f7cc45d,12
40,apparel,0,apparel/image0568.jpg,unique,8b2c5de7888f1e846933849c1fd5d53a85282f2a737021cf911a5a59acef25e1,d64e7c3818afb892,512,512,101649,train,8b2c5de7888f1e846933849c1fd5d53a85282f2a737021cf911a5a59acef25e1,13
44,apparel,0,apparel/image0608.jpg,unique,dcf0cf1883f1415920011c4c8e7b0777ae2c9ca53e4d91a3082eee1acbd1d50c,b1d0b38ecb4d99c4,512,512,57312,train,dcf0cf1883f1415920011c4c8e7b0777ae2c9ca53e4d91a3082eee1acbd1d50c,14
45,apparel,0,apparel/image0611.jpg,unique,df5d9459f12ae9215d99fe3b379ff259e6e9d73dfedb8baa0d3298f7173ce86d,d2cced65c066c2d3,512,512,102501,train,df5d9459f12ae9215d99fe3b379ff259e6e9d73dfedb8baa0d3298f7173ce86d,15
47,apparel,0,apparel/image0643.jpg,unique,62a9be988b7d7a8f026601a6660306db67e7298f93496bd13deb98a3f6e9e486,a5c096b4635b9ba3,512,512,117093,train,62a9be988b7d7a8f026601a6660306db67e7298f93496bd13deb98a3f6e9e486,16
50,apparel,0,apparel/image0710.jpg,unique,dfd34def8537ddae2c2f1e2252964eb9c0e0555aeb62073e7d8d7bd3ffce9eb1,efacc4f890b38712,512,512,84332,train,dfd34def8537ddae2c2f1e2252964eb9c0e0555aeb62073e7d8d7bd3ffce9eb1,17
52,apparel,0,apparel/image0732.jpg,unique,b3f431986ea86c759758f5f1ea0b502d27b59d6cbe4224aef441d2661b3cf36e,b331c366cdc72638,512,512,41326,train,b3f431986ea86c759758f5f1ea0b502d27b59d6cbe4224aef441d2661b3cf36e,18
60,apparel,0,apparel/image0887.jpg,unique,aa1ecc374132f046efacbc82cee43ec4c1e02229b5a9f8969f4dba80e5b59902,f64c83a59bd25a19,512,512,57748,train,aa1ecc374132f046efacbc82cee43ec4c1e02229b5a9f8969f4dba80e5b59902,19
62,apparel,0,apparel/image0894.jpg,unique,1c7690e43cb28ccef2fcf8d0b560331cf06749d69de2a405ab1db7b4f27a7697,bd30f0c3e3c33331,512,512,103240,train,1c7690e43cb28ccef2fcf8d0b560331cf06749d69de2a405ab1db7b4f27a7697,20
64,apparel,0,apparel/image0913.jpg,unique,5440e02faa1ea7316f4fb6a53b62951d86192110246e95b5ded9575a82e08f01,e1329a659a63c61f,512,512,29533,train,5440e02faa1ea7316f4fb6a53b62951d86192110246e95b5ded9575a82e08f01,21
68,apparel,0,apparel/image0954.jpg,unique,0ee784021cdb51054e5a2ca72ceda29edb1f432754e546be5de495135741f93c,f6a34e4cce4cac23,512,512,84919,train,0ee784021cdb51054e5a2ca72ceda29edb1f432754e546be5de495135741f93c,22
69,apparel,0,apparel/image0966.jpg,unique,ab0e875f17496fd325be7c970482c45492230a16fab301acd2561038aaa7d4e8,b0c3cf38cb34c636,512,512,89470,train,ab0e875f17496fd325be7c970482c45492230a16fab301acd2561038aaa7d4e8,23
71,apparel,0,apparel/image10019.jpg,unique,d1dfefa2aa21adfdcf5d6f40219b460d0d34a6ed45b4705b36039dfed0b269d5,8b96b407b719b139,512,512,85303,train,d1dfefa2aa21adfdcf5d6f40219b460d0d34a6ed45b4705b36039dfed0b269d5,24
72,apparel,0,apparel/image10020.jpg,unique,8f267319b762f08408627bc26de47b314e3e810f0250b68282c31ac8a3abba42,b2b1c1ccd93cc3c6,512,512,51009,train,8f267319b762f08408627bc26de47b314e3e810f0250b68282c31ac8a3abba42,25
